ep_no,steps_taken,time_taken,rewards
393,32,230,-118.35857748315131
394,30,218,-101.62227967543906
395,30,215,-89.55674377436142
396,27,192,-70.78922523530485
397,40,281,-153.03866273333006
398,68,482,-425.74456399405705
399,53,377,-290.165535614565
400,98,710,-632.750470515925
401,28,201,-64.58939049736884
402,100,722,-611.0262601177694
403,24,172,-53.33034279203767
404,26,181,-47.031850160694745
405,42,295,-192.33044820970088
406,40,292,-193.24469834670748
407,28,204,-86.15510835228177
408,37,270,-111.58652122614448
409,65,473,-341.12714128136514
410,28,208,-83.3512326121747
411,29,212,-74.47597028144445
412,28,205,-129.58533119871515
413,36,266,-153.02190087917978
414,24,178,-53.57116751306825
415,28,204,-81.49365413234771
416,33,237,-127.24996654682867
417,28,196,-81.54210873985541
418,40,292,-174.12677768208601
419,24,191,-70.53856424097548
420,25,188,-27.8786769664533
421,63,486,-332.8469922479367
422,40,333,-184.00559185008615
423,34,264,-148.10304250417522
424,46,349,-159.05628851698413
425,29,221,-86.27553665212665
426,41,321,-153.34533214334084
427,30,233,-96.36600234203338
428,28,205,-89.03129669883971
429,29,214,-97.86401323736841
430,29,214,-61.465098930853486
431,30,218,-105.69520089897117
432,28,207,-88.75956522039402
433,38,281,-187.8721055620236
434,26,193,-38.175706673536666
435,32,233,-118.07834986770494
436,28,206,-72.38678895399488
437,27,200,-84.93228754030623
438,31,229,-104.3072258094302
439,30,217,-91.71447933682481
440,30,218,-97.20781486817854
441,28,202,-87.40159985923123
442,27,196,-67.97386626532636
443,32,235,-123.8567238890762
444,24,177,-51.5305604559578
445,28,207,-64.40719508442203
446,32,236,-115.16139576046704
447,24,181,-22.424396039699047
448,29,214,-94.19708403072573
449,25,183,-62.02261508840036
450,25,184,-59.92505545339658
451,36,260,-120.97659223586744
452,31,223,-85.72739142861093
453,39,282,-156.66086780015684
454,37,269,-135.35970976694108
455,28,204,-50.14561825376735
456,27,196,-78.71655406331273
457,28,205,-86.38468024556055
458,30,222,-96.10535747831464
459,24,179,-50.85924935546102
460,30,218,-94.32207781021977
461,27,201,-79.93224642142121
462,31,230,-92.68874314380886
463,32,235,-67.2456381792921
464,37,272,-116.30518851334357
465,35,276,-137.77621591688694
466,27,199,-85.28075356741842
467,28,205,-81.28151797074833
468,33,262,-109.69027514622037
469,22,163,-39.765225034893156
470,27,202,-80.5124616254895
471,40,292,-162.5159688883191
472,29,212,-96.69842464155722
473,30,221,-71.63149260749398
474,33,246,-116.11515902310317
475,20,149,-6.692910418853526
476,27,197,-82.26962465247229
477,27,198,-88.36579030843386
478,35,250,-143.38007767498834
479,25,185,-56.218628232099675
480,28,213,-92.71753569639796
481,28,223,-79.28166757539009
482,27,201,-58.03039676515151
483,44,332,-187.42473416092497
484,25,193,-59.86447533477458
485,34,253,-146.56623235631423
486,24,189,-50.1514467018262
487,32,239,-129.0825180638817
488,28,207,-82.15434973686085
489,40,291,-183.69495790920558
490,34,248,-124.70402345946944
491,38,273,-137.4415570307869
492,32,238,-122.20020136531444
493,37,270,-167.04744877159436
494,33,242,-79.82962548804652
495,30,228,-99.91679926501807
496,32,239,-66.4383555006225
497,37,273,-174.84911509429514
498,24,181,-52.997112591178464
499,30,224,-78.97297384811809
