ep_no,steps_taken,time_taken,rewards
177,28,139,-106.5
178,21,106,-23.0
179,28,143,-11.0
180,25,126,-66.0
181,21,107,-23.0
182,21,107,-41.5
183,21,106,-61.5
184,22,111,-43.0
185,24,122,-27.5
186,27,140,-88.5
187,24,122,-84.5
188,21,106,-42.0
189,24,123,-85.0
190,16,83,-54.5
191,22,111,-24.5
192,21,108,-5.5
193,22,110,-5.5
194,26,132,-48.0
195,20,103,-22.0
196,21,109,-42.0
197,26,133,-29.0
198,18,92,-20.0
199,23,115,-6.0
200,18,90,-39.5
201,23,117,-44.5
202,26,129,-83.0
203,23,114,-64.0
204,23,115,-26.0
205,19,100,-1.0
206,26,130,-106.0
207,35,175,-152.5
208,24,121,-43.5
209,22,111,-43.0
210,22,112,-23.0
211,22,112,-24.0
212,25,123,-27.5
213,18,96,-0.5
214,17,88,-18.5
215,19,117,-21.0
216,18,91,-76.0
217,19,97,-1.0
218,19,97,-21.0
219,22,113,-4.5
220,18,93,-20.0
221,21,109,-23.5
222,22,113,-24.5
223,18,95,-0.5
224,23,118,-25.0
225,21,108,-4.5
226,28,143,-30.0
227,21,108,-23.0
228,24,123,-64.5
229,21,108,-4.0
230,19,99,-1.0
231,21,107,-23.0
232,20,104,-2.5
233,17,87,-18.5
234,13,67,-14.5
235,20,102,-22.0
236,22,111,-24.0
237,23,117,-6.5
238,23,115,-25.5
239,19,95,-38.5
240,21,106,-40.5
241,18,93,-0.5
242,25,126,-26.0
243,19,98,-2.0
244,18,93,-19.0
245,18,93,-0.5
246,21,108,-4.5
247,19,98,-1.0
248,20,105,-2.5
249,22,112,-42.5
250,18,92,-0.5
251,19,98,-1.0
252,22,112,-4.5
253,18,92,-0.5
254,20,101,-22.0
255,19,95,-21.0
256,20,101,-2.5
257,21,106,-23.0
258,21,105,-4.0
259,18,92,-0.5
260,20,100,-22.0
261,18,92,-19.5
262,18,93,-0.5
263,20,103,-21.5
264,20,103,-3.0
265,18,94,-0.5
266,18,92,-20.0
267,21,108,-61.0
268,20,103,-41.0
269,21,107,-22.5
270,18,93,-0.5
271,23,118,-44.0
272,20,104,-2.5
273,19,98,-1.0
274,18,92,-0.5
275,19,101,-1.0
276,18,97,-0.5
277,18,94,-0.5
278,18,94,-0.5
279,18,95,-0.5
280,18,95,-0.5
281,20,106,-22.0
282,19,101,-1.0
283,19,101,-1.0
284,19,99,-1.0
285,19,97,-1.0
286,18,93,-0.5
287,18,93,-0.5
288,18,92,-0.5
289,18,91,-0.5
290,18,92,-0.5
291,18,92,-0.5
292,18,94,-0.5
293,18,92,-0.5
294,19,102,-1.0
295,18,94,-0.5
296,18,92,-0.5
297,18,92,-0.5
298,18,93,-0.5
299,18,92,-0.5
